filenames,rsid,round,samples,zi,zf
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y21.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y22.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y23.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y24.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y25.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y26.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y27.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y28.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y29.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y3.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y30.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y31.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y32.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y33.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y34.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y35.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y36.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y4.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y5.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y6.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y7.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y8.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x23_y9.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x24_y10.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x24_y11.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x24_y12.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x24_y13.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x24_y14.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x24_y15.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x24_y16.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x24_y17.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x24_y18.tif,1.01,Round1,Sample1,1,1
