filenames,rsid,round,samples,zi,zf
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P2\Slide4_P2_MMStack_Pos-0-2.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P2\Slide4_P2_MMStack_Pos-1-0.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P2\Slide4_P2_MMStack_Pos-1-1.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P2\Slide4_P2_MMStack_Pos-1-2.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P2\Slide4_P2_MMStack_Pos-2-0.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P2\Slide4_P2_MMStack_Pos-2-1.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P2\Slide4_P2_MMStack_Pos-2-2.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P3\Slide4_P3_MMStack_Pos-0-0.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P3\Slide4_P3_MMStack_Pos-0-1.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P3\Slide4_P3_MMStack_Pos-0-2.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P3\Slide4_P3_MMStack_Pos-1-0.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P3\Slide4_P3_MMStack_Pos-1-1.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P3\Slide4_P3_MMStack_Pos-1-2.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P3\Slide4_P3_MMStack_Pos-2-0.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P3\Slide4_P3_MMStack_Pos-2-1.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P3\Slide4_P3_MMStack_Pos-2-2.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P1\Slide5_P1_MMStack_Pos-0-0.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P1\Slide5_P1_MMStack_Pos-0-1.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P1\Slide5_P1_MMStack_Pos-0-2.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P1\Slide5_P1_MMStack_Pos-1-0.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P1\Slide5_P1_MMStack_Pos-1-1.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P1\Slide5_P1_MMStack_Pos-1-2.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P1\Slide5_P1_MMStack_Pos-2-0.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P1\Slide5_P1_MMStack_Pos-2-1.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P1\Slide5_P1_MMStack_Pos-2-2.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P2\Slide5_P2_MMStack_Pos-0-0.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P2\Slide5_P2_MMStack_Pos-0-1.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P2\Slide5_P2_MMStack_Pos-0-2.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P2\Slide5_P2_MMStack_Pos-1-0.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P2\Slide5_P2_MMStack_Pos-1-1.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P2\Slide5_P2_MMStack_Pos-1-2.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P2\Slide5_P2_MMStack_Pos-2-0.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P2\Slide5_P2_MMStack_Pos-2-1.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P2\Slide5_P2_MMStack_Pos-2-2.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P3\Slide5_P3_MMStack_Pos-0-0.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P3\Slide5_P3_MMStack_Pos-0-1.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P3\Slide5_P3_MMStack_Pos-0-2.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P3\Slide5_P3_MMStack_Pos-1-0.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P3\Slide5_P3_MMStack_Pos-1-1.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P3\Slide5_P3_MMStack_Pos-1-2.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P3\Slide5_P3_MMStack_Pos-2-0.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P3\Slide5_P3_MMStack_Pos-2-1.ome.tif,1.05,Round1,Sample5,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample5\Slide5_P3\Slide5_P3_MMStack_Pos-2-2.ome.tif,1.05,Round1,Sample5,4,13
