filenames,rsid,zi,zf,Name of person
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample12\230222_sample12_lower488power_1\230222_sample12_lower488power_1_MMStack_13-Pos002_001.ome.tif,1.12,2,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample12\230222_sample12_lower488power_1\230222_sample12_lower488power_1_MMStack_13-Pos002_002.ome.tif,1.12,7,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample12\230222_sample12_lower488power_2\230222_sample12_lower488power_2_MMStack_14-Pos000_000.ome.tif,1.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample12\230222_sample12_lower488power_2\230222_sample12_lower488power_2_MMStack_14-Pos000_001.ome.tif,1.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample12\230222_sample12_lower488power_2\230222_sample12_lower488power_2_MMStack_14-Pos000_002.ome.tif,1.12,6,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample12\230222_sample12_lower488power_2\230222_sample12_lower488power_2_MMStack_14-Pos001_000.ome.tif,1.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample12\230222_sample12_lower488power_2\230222_sample12_lower488power_2_MMStack_14-Pos001_001.ome.tif,1.12,5,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample12\230222_sample12_lower488power_2\230222_sample12_lower488power_2_MMStack_14-Pos001_002.ome.tif,1.12,6,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample12\230222_sample12_lower488power_2\230222_sample12_lower488power_2_MMStack_14-Pos002_000.ome.tif,1.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample12\230222_sample12_lower488power_2\230222_sample12_lower488power_2_MMStack_14-Pos002_001.ome.tif,1.12,5,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample12\230222_sample12_lower488power_2\230222_sample12_lower488power_2_MMStack_14-Pos002_002.ome.tif,1.12,8,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample12\230222_sample12_lower488power_3\230222_sample12_lower488power_3_MMStack_15-Pos000_000.ome.tif,1.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample12\230222_sample12_lower488power_3\230222_sample12_lower488power_3_MMStack_15-Pos000_001.ome.tif,1.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample12\230222_sample12_lower488power_3\230222_sample12_lower488power_3_MMStack_15-Pos000_002.ome.tif,1.12,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample12\230222_sample12_lower488power_3\230222_sample12_lower488power_3_MMStack_15-Pos001_000.ome.tif,1.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample12\230222_sample12_lower488power_3\230222_sample12_lower488power_3_MMStack_15-Pos001_001.ome.tif,1.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample12\230222_sample12_lower488power_3\230222_sample12_lower488power_3_MMStack_15-Pos001_002.ome.tif,1.12,5,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample12\230222_sample12_lower488power_3\230222_sample12_lower488power_3_MMStack_15-Pos002_000.ome.tif,1.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample12\230222_sample12_lower488power_3\230222_sample12_lower488power_3_MMStack_15-Pos002_001.ome.tif,1.12,2,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample12\230222_sample12_lower488power_3\230222_sample12_lower488power_3_MMStack_15-Pos002_002.ome.tif,1.12,5,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample13\230222_sample13_1\230222_sample13_1_MMStack_Default.ome.tif,1.13,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample13\230222_sample13_2\230222_sample13_2_MMStack_Default.ome.tif,1.13,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample13\230222_sample13_4\230222_sample13_4_MMStack_Default.ome.tif,1.13,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample14\230222_sample14_1\230222_sample14_1_MMStack_Default.ome.tif,1.14,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample14\230222_sample14_2\230222_sample14_2_MMStack_Default.ome.tif,1.14,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample14\230222_sample14_3\230222_sample14_3_MMStack_Default.ome.tif,1.14,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample15\230222_sample15_1\230222_sample15_1_MMStack_Default.ome.tif,1.15,1,14,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample15\230222_sample15_2\230222_sample15_2_MMStack_Default.ome.tif,1.15,1,9,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample15\230222_sample15_3\230222_sample15_3_MMStack_Default.ome.tif,1.15,1,9,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample16\230222_sample16_1\230222_sample16_1_MMStack_Default.ome.tif,1.16,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample16\230222_sample16_3\230222_sample16_3_MMStack_Default.ome.tif,1.16,7,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample16\230222_sample16_4\230222_sample16_4_MMStack_Default.ome.tif,1.16,8,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_12_grid3\sample1_8_6-Pos000_000.tif,1.01,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_12_grid3\sample1_8_6-Pos000_001.tif,1.01,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_12_grid3\sample1_8_6-Pos000_002.tif,1.01,6,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_12_grid3\sample1_8_6-Pos001_000.tif,1.01,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_12_grid3\sample1_8_6-Pos001_001.tif,1.01,5,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_12_grid3\sample1_8_6-Pos001_002.tif,1.01,10,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_12_grid3\sample1_8_6-Pos002_000.tif,1.01,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_12_grid3\sample1_8_6-Pos002_002.tif,1.01,13,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_3_grid1\sample1_3_3-Pos000_000.tif,1.01,1,13,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_3_grid1\sample1_3_3-Pos000_001.tif,1.01,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_3_grid1\sample1_3_3-Pos000_002.tif,1.01,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_3_grid1\sample1_3_3-Pos001_000.tif,1.01,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_3_grid1\sample1_3_3-Pos001_001.tif,1.01,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_3_grid1\sample1_3_3-Pos001_002.tif,1.01,5,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_3_grid1\sample1_3_3-Pos002_000.tif,1.01,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_3_grid1\sample1_3_3-Pos002_001.tif,1.01,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_3_grid1\sample1_3_3-Pos002_002.tif,1.01,8,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_8_grid2\sample1_8_4-Pos000_000.tif,1.01,1,14,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_8_grid2\sample1_8_4-Pos000_001.tif,1.01,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_8_grid2\sample1_8_4-Pos000_002.tif,1.01,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_8_grid2\sample1_8_4-Pos001_000.tif,1.01,1,15,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_8_grid2\sample1_8_4-Pos001_001.tif,1.01,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_8_grid2\sample1_8_4-Pos001_002.tif,1.01,6,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_8_grid2\sample1_8_4-Pos002_000.tif,1.01,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_8_grid2\sample1_8_4-Pos002_001.tif,1.01,5,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample1\sample1_actual_8_grid2\sample1_8_4-Pos002_002.tif,1.01,8,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_3_GRID1\sample2_3_MMStack_7-Pos000_000.ome.tif,1.02,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_3_GRID1\sample2_3_MMStack_7-Pos000_001.ome.tif,1.02,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_3_GRID1\sample2_3_MMStack_7-Pos000_002.ome.tif,1.02,6,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_3_GRID1\sample2_3_MMStack_7-Pos001_000.ome.tif,1.02,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_3_GRID1\sample2_3_MMStack_7-Pos001_001.ome.tif,1.02,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_3_GRID1\sample2_3_MMStack_7-Pos001_002.ome.tif,1.02,6,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_3_GRID1\sample2_3_MMStack_7-Pos002_000.ome.tif,1.02,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_3_GRID1\sample2_3_MMStack_7-Pos002_001.ome.tif,1.02,5,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_3_GRID1\sample2_3_MMStack_7-Pos002_002.ome.tif,1.02,7,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_5_GRID2\sample2_5_MMStack_8-Pos000_000.ome.tif,1.02,1,14,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_5_GRID2\sample2_5_MMStack_8-Pos000_001.ome.tif,1.02,1,15,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_5_GRID2\sample2_5_MMStack_8-Pos000_002.ome.tif,1.02,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_5_GRID2\sample2_5_MMStack_8-Pos001_000.ome.tif,1.02,1,14,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_5_GRID2\sample2_5_MMStack_8-Pos001_001.ome.tif,1.02,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_5_GRID2\sample2_5_MMStack_8-Pos001_002.ome.tif,1.02,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_5_GRID2\sample2_5_MMStack_8-Pos002_000.ome.tif,1.02,1,15,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_5_GRID2\sample2_5_MMStack_8-Pos002_001.ome.tif,1.02,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_5_GRID2\sample2_5_MMStack_8-Pos002_002.ome.tif,1.02,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_6_GRID3\sample2_6_MMStack_9-Pos000_000.ome.tif,1.02,1,15,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_6_GRID3\sample2_6_MMStack_9-Pos000_001.ome.tif,1.02,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_6_GRID3\sample2_6_MMStack_9-Pos000_002.ome.tif,1.02,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_6_GRID3\sample2_6_MMStack_9-Pos001_000.ome.tif,1.02,1,15,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_6_GRID3\sample2_6_MMStack_9-Pos001_001.ome.tif,1.02,2,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_6_GRID3\sample2_6_MMStack_9-Pos001_002.ome.tif,1.02,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_6_GRID3\sample2_6_MMStack_9-Pos002_000.ome.tif,1.02,1,16,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_6_GRID3\sample2_6_MMStack_9-Pos002_001.ome.tif,1.02,2,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample2\sample2_6_GRID3\sample2_6_MMStack_9-Pos002_002.ome.tif,1.02,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample3\sample3_3_grid1\sample3_3_MMStack_10-Pos000_000.ome.tif,1.03,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample3\sample3_3_grid1\sample3_3_MMStack_10-Pos000_001.ome.tif,1.03,6,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample3\sample3_3_grid1\sample3_3_MMStack_10-Pos000_002.ome.tif,1.03,7,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample3\sample3_3_grid1\sample3_3_MMStack_10-Pos001_000.ome.tif,1.03,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample3\sample3_3_grid1\sample3_3_MMStack_10-Pos001_001.ome.tif,1.03,6,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample3\sample3_3_grid1\sample3_3_MMStack_10-Pos001_002.ome.tif,1.03,8,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample3\sample3_3_grid1\sample3_3_MMStack_10-Pos002_000.ome.tif,1.03,6,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample3\sample3_3_grid1\sample3_3_MMStack_10-Pos002_001.ome.tif,1.03,7,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample3\sample3_3_grid1\sample3_3_MMStack_10-Pos002_002.ome.tif,1.03,9,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample3\sample3_4_grid2\sample3_4_MMStack_11-Pos000_000.ome.tif,1.03,1,14,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample3\sample3_4_grid2\sample3_4_MMStack_11-Pos000_001.ome.tif,1.03,1,16,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample3\sample3_4_grid2\sample3_4_MMStack_11-Pos000_002.ome.tif,1.03,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample3\sample3_4_grid2\sample3_4_MMStack_11-Pos001_000.ome.tif,1.03,1,14,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample3\sample3_4_grid2\sample3_4_MMStack_11-Pos001_001.ome.tif,1.03,2,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample3\sample3_4_grid2\sample3_4_MMStack_11-Pos002_002.ome.tif,1.03,6,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample3\sample3_7\sample3_7_MMStack_12-Pos000_000.ome.tif,1.03,1,14,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week1 Round1\sample3\sample3_7\sample3_7_MMStack_12-Pos000_001.ome.tif,1.03,6,17,Jonathan
