filenames,rsid,round,samples,zi,zf
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Neg_no_secondary_actual_6\Neg_no_secondary_actual_MMStack_Pos-0-1.ome.tif,2.06,Round2,Neg_no_secondary_actual_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Neg_no_secondary_actual_6\Neg_no_secondary_actual_MMStack_Pos-0-2.ome.tif,2.06,Round2,Neg_no_secondary_actual_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Neg_no_secondary_actual_6\Neg_no_secondary_actual_MMStack_Pos-1-0.ome.tif,2.06,Round2,Neg_no_secondary_actual_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Neg_no_secondary_actual_6\Neg_no_secondary_actual_MMStack_Pos-1-1.ome.tif,2.06,Round2,Neg_no_secondary_actual_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Neg_no_secondary_actual_6\Neg_no_secondary_actual_MMStack_Pos-1-2.ome.tif,2.06,Round2,Neg_no_secondary_actual_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Neg_no_secondary_actual_6\Neg_no_secondary_actual_MMStack_Pos-2-0.ome.tif,2.06,Round2,Neg_no_secondary_actual_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Neg_no_secondary_actual_6\Neg_no_secondary_actual_MMStack_Pos-2-1.ome.tif,2.06,Round2,Neg_no_secondary_actual_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Neg_no_secondary_actual_6\Neg_no_secondary_actual_MMStack_Pos-2-2.ome.tif,2.06,Round2,Neg_no_secondary_actual_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_1\Sample_1_MMStack_Pos-0-0.ome.tif,2.01,Round2,Sample_1,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_1\Sample_1_MMStack_Pos-0-1.ome.tif,2.01,Round2,Sample_1,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_1\Sample_1_MMStack_Pos-0-2.ome.tif,2.01,Round2,Sample_1,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_1\Sample_1_MMStack_Pos-1-0.ome.tif,2.01,Round2,Sample_1,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_1\Sample_1_MMStack_Pos-1-1.ome.tif,2.01,Round2,Sample_1,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_1\Sample_1_MMStack_Pos-1-2.ome.tif,2.01,Round2,Sample_1,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_1\Sample_1_MMStack_Pos-2-0.ome.tif,2.01,Round2,Sample_1,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_1\Sample_1_MMStack_Pos-2-1.ome.tif,2.01,Round2,Sample_1,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_1\Sample_1_MMStack_Pos-2-2.ome.tif,2.01,Round2,Sample_1,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_2\Sample_2_MMStack_Pos-0-0.ome.tif,2.02,Round2,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_2\Sample_2_MMStack_Pos-0-1.ome.tif,2.02,Round2,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_2\Sample_2_MMStack_Pos-0-2.ome.tif,2.02,Round2,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_2\Sample_2_MMStack_Pos-1-0.ome.tif,2.02,Round2,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_2\Sample_2_MMStack_Pos-1-1.ome.tif,2.02,Round2,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_2\Sample_2_MMStack_Pos-1-2.ome.tif,2.02,Round2,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_2\Sample_2_MMStack_Pos-2-0.ome.tif,2.02,Round2,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_2\Sample_2_MMStack_Pos-2-1.ome.tif,2.02,Round2,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_2\Sample_2_MMStack_Pos-2-2.ome.tif,2.02,Round2,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_3\Sample_3_MMStack_Pos-0-0.ome.tif,2.03,Round2,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_3\Sample_3_MMStack_Pos-0-1.ome.tif,2.03,Round2,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_3\Sample_3_MMStack_Pos-0-2.ome.tif,2.03,Round2,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_3\Sample_3_MMStack_Pos-1-0.ome.tif,2.03,Round2,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_3\Sample_3_MMStack_Pos-1-1.ome.tif,2.03,Round2,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_3\Sample_3_MMStack_Pos-1-2.ome.tif,2.03,Round2,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_3\Sample_3_MMStack_Pos-2-0.ome.tif,2.03,Round2,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_3\Sample_3_MMStack_Pos-2-1.ome.tif,2.03,Round2,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_3\Sample_3_MMStack_Pos-2-2.ome.tif,2.03,Round2,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_4\Sample_4_MMStack_Pos-0-0.ome.tif,2.04,Round2,Sample_4,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_4\Sample_4_MMStack_Pos-0-1.ome.tif,2.04,Round2,Sample_4,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_4\Sample_4_MMStack_Pos-0-2.ome.tif,2.04,Round2,Sample_4,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_4\Sample_4_MMStack_Pos-1-0.ome.tif,2.04,Round2,Sample_4,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_4\Sample_4_MMStack_Pos-1-1.ome.tif,2.04,Round2,Sample_4,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_4\Sample_4_MMStack_Pos-1-2.ome.tif,2.04,Round2,Sample_4,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_4\Sample_4_MMStack_Pos-2-0.ome.tif,2.04,Round2,Sample_4,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_4\Sample_4_MMStack_Pos-2-1.ome.tif,2.04,Round2,Sample_4,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Sample_4\Sample_4_MMStack_Pos-2-2.ome.tif,2.04,Round2,Sample_4,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Neg_no_primary_5\Neg_no_primary_2_MMStack_Pos-0-0.ome.tif,3.05,Round3,Neg_no_primary_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Neg_no_primary_5\Neg_no_primary_2_MMStack_Pos-0-1.ome.tif,3.05,Round3,Neg_no_primary_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Neg_no_primary_5\Neg_no_primary_2_MMStack_Pos-0-2.ome.tif,3.05,Round3,Neg_no_primary_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Neg_no_primary_5\Neg_no_primary_2_MMStack_Pos-1-0.ome.tif,3.05,Round3,Neg_no_primary_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Neg_no_primary_5\Neg_no_primary_2_MMStack_Pos-1-1.ome.tif,3.05,Round3,Neg_no_primary_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Neg_no_primary_5\Neg_no_primary_2_MMStack_Pos-1-2.ome.tif,3.05,Round3,Neg_no_primary_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Neg_no_primary_5\Neg_no_primary_2_MMStack_Pos-2-0.ome.tif,3.05,Round3,Neg_no_primary_5,5,37
